"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU15_61","1750","0.0454545454545455","0","0.0454545454545455","0.0909090909090909","0.0454545454545455","0.0454545454545455","0.363636363636364","0.227272727272727","0.136363636363636"
"LU21_106","1750","0.0869565217391304","0","0","0.0869565217391304","0.260869565217391","0","0.0869565217391304","0.217391304347826","0.260869565217391"
"LU21_10","1750","0.0416666666666667","0","0","0.25","0.208333333333333","0","0.166666666666667","0.208333333333333","0.125"
"LU21_16","1750","0.0769230769230769","0","0","0.230769230769231","0.115384615384615","0","0.115384615384615","0.192307692307692","0.269230769230769"
"LU21_107","1750","0.0909090909090909","0","0","0.136363636363636","0.318181818181818","0","0.181818181818182","0.113636363636364","0.159090909090909"
"LU21_41","1750","0","0","0.0344827586206897","0.172413793103448","0.103448275862069","0","0.172413793103448","0.172413793103448","0.344827586206897"
"LU21_63","1750","0.0434782608695652","0","0","0.217391304347826","0.0869565217391304","0","0.0434782608695652","0.173913043478261","0.434782608695652"
"LU21_27","1750","0.129032258064516","0","0","0.193548387096774","0.129032258064516","0","0.032258064516129","0.193548387096774","0.32258064516129"
"LU21_23","1750","0.196078431372549","0","0","0.0784313725490196","0.0392156862745098","0","0.235294117647059","0.254901960784314","0.196078431372549"
"LU21_21","1750","0.0967741935483871","0","0","0.032258064516129","0.129032258064516","0","0.225806451612903","0.354838709677419","0.161290322580645"
"LU21_82","1750","0.0588235294117647","0","0","0.0294117647058824","0.176470588235294","0","0.323529411764706","0.0882352941176471","0.323529411764706"
"LU21_871","1750","0.269230769230769","0","0","0.192307692307692","0.153846153846154","0","0.153846153846154","0.0769230769230769","0.153846153846154"
"LU21_164","1750","0.115384615384615","0","0","0.153846153846154","0.0769230769230769","0","0.0384615384615385","0.230769230769231","0.384615384615385"
"LU21_36","1750","0.121212121212121","0","0.0303030303030303","0.121212121212121","0.0606060606060606","0","0.0606060606060606","0.333333333333333","0.272727272727273"
"LU21_14","1750","0.307692307692308","0","0","0.269230769230769","0.0769230769230769","0","0.0769230769230769","0.153846153846154","0.115384615384615"
"LU21_32","1750","0.12","0","0","0.24","0.28","0","0.04","0.08","0.24"
"LU21_126","1750","0.212765957446809","0","0","0.106382978723404","0.212765957446809","0","0.0425531914893617","0.191489361702128","0.234042553191489"
"LU21_122","1750","0.170731707317073","0","0","0.0731707317073171","0.0975609756097561","0","0.195121951219512","0.292682926829268","0.170731707317073"
"LU21_56","1750","0.166666666666667","0","0","0.0333333333333333","0.1","0","0.166666666666667","0.233333333333333","0.3"
"LU21_57","1750","0.103448275862069","0","0","0.0344827586206897","0.103448275862069","0","0.310344827586207","0.310344827586207","0.137931034482759"
"LU21_09","1750","0.0909090909090909","0","0","0.136363636363636","0.0454545454545455","0","0.136363636363636","0.409090909090909","0.181818181818182"
"LU21_98","1750","0.121951219512195","0","0.024390243902439","0.292682926829268","0.0487804878048781","0","0.0731707317073171","0.292682926829268","0.146341463414634"
"LU21_119","1750","0.147058823529412","0","0","0.0588235294117647","0.264705882352941","0","0.176470588235294","0.205882352941176","0.147058823529412"
"LU21_52","1750","0.127272727272727","0.0181818181818182","0.0181818181818182","0.163636363636364","0.236363636363636","0","0.127272727272727","0.218181818181818","0.0909090909090909"
"LU21_59","1750","0.0909090909090909","0","0","0.136363636363636","0.409090909090909","0","0.227272727272727","0.0909090909090909","0.0454545454545455"
