Site,BUFF_DIST,LC_class20,LC_class32,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
LU21_107,500,0,0,0,0,0,0,0,0.956519896,0,0.043480104
LU21_41,500,0,0,0,0,0,0,0,0.996568016,0,0.003431984
LU21_63,500,0,0,0,0,0,0.051495353,0,0.621080416,0,0.327424231
LU21_27,500,0.067171547,0,0,0,0.011077212,0,0,0.921751241,0,0
LU21_23,500,0,0,0,0,0.145023314,0,0,0.854976686,0,0
LU21_21,500,0,0,0,0,0,0,0,1,0,0
LU21_82,500,0,0,0,0,0.405920341,0.048341525,0,0.30142689,0.161163197,0.083148048
LU21_871,500,0,0,0,0,0.179990989,0.068213165,0,0.11749844,0.410260571,0.224036835
LU21_164,500,0,0,0,0,0.014839284,0.198942175,0,0.786218541,0,0
LU21_36,500,0,0,0,0,0,0,0,1,0,0
LU21_14,500,0,0,0,0,0.058639165,0,0,0.941360835,0,0
LU21_32,500,0,0,0,0,0.002416462,0,0,0.997583538,0,0
LU21_126,500,0,0,0,0,0,0,0,0.986757132,0.013242868,0
LU21_122,500,0,0,0,0,0.003355759,0,0,0.996644241,0,0
LU21_56,500,0,0,0,0,0,0,0,0.999225209,0.000774791,0
LU21_57,500,0,0,0,0,0,0.032449818,0,0.936822702,0.024938106,0.005789374
LU21_09,500,0,0,0,0,0.336225216,0.091359811,0,0.36282994,0.133364017,0.076221016
LU21_98,500,0.008445546,0,0,0,0.055605944,0,0,0.60362894,0,0.332319571
LU21_119,500,0,0,0,0,0.00706392,0,0,0.986045959,0,0.006890121
LU21_52,500,0,0,0,0,0,0,0,1,0,0
LU21_59,500,0.0632484,0,0,0,0,0,0,0,0.779894765,0.156856835
LU21_68,500,0,0,0,0,0,0,0,0.26268438,0.531978608,0.205337012
LU21_109,500,0,0,0,0,0,0,0,0.999994318,0,5.68E-06
LU21_93,500,0,0,0,0,0.091778838,0,0,0.655695784,0.012786201,0.239739177
LU21_114,500,0,0,0,0,0.065347043,0,0,0.411821639,0.186253592,0.336577727
LU21_105,500,0,0,0,0,0,0.152129721,0,0.40491431,0.056958768,0.385997201
LU21_100,500,0,0,0,0,0.054741381,0.059262903,0,0.612512957,0,0.273482758
LU21_74,500,0,0,0,0,0,0.157184569,0,0.755208355,0.087607076,0
LU21_78,500,0.23676359,0,0,0,0,0,0,0.366059652,0.016303155,0.380873603
LU21_153,500,0,0,0,0,0,0,0,1,0,0
LU21_06,500,0,0,0,0,0,0.031527077,0,0.422933278,0.515026167,0.030513478
LU21_116,500,0.232280203,0,0,0,0,0.071634555,0,0,0.490400671,0.20568457
LU21_97,500,0.130860801,0,0,0,0,0.223979953,0,0.086747281,0.390171553,0.168240412
LU01_13,500,0.079320523,0,0,0.050711771,0,0,0,0,0.869967697,0
LU01_30,500,0,0,0,0.091900857,0.237276009,0,0,0.155311351,0.51551178,0
LU01_85,500,0,0,0,0.052660682,0.078722185,0,0,0.417848142,0.45076901,0
LU01_66,500,0,0,0,0.284066846,0.063713073,0.00284787,0,0.43540756,0,0.21396468
LU01_76,500,0,0,0,0.176475908,0.004882665,0.124006549,0,0.606217961,0.088416949,0
LU01_73,500,0,0,0,0.059166078,0.06789655,0.072271614,0,0.800665756,0,0
LU01_75,500,0.001245691,0,0,0.256659523,0.227159708,0,0,0.47685277,0.038082326,0
LU01_47,500,0,0,0,0.228355337,0.02962826,0.175780375,0,0.051052281,0.397911132,0.117272611
LU01_74,500,0,0,0,0.124582877,0.043708856,0.061488257,0,0.770220003,0,0
LU01_44,500,0.02980742,0,0,0.343619252,0.091470995,0.081429439,0,0.253696583,0.190264836,0.009711502
LU01_41,500,0.188508087,0,0,0.157779721,0,0,0,0.231756705,0.42195548,0
LU01_64,500,0,0,0,0,0.163214407,0.095553917,0,0.61516663,0.019379338,0.106685709
LU01_86,500,0,0,0,0,0,0,0,0.775992369,0,0.224007625
LU01_79,500,0,0,0,0,0.114308405,0.122022952,0,0.763668643,0,0
LU01_63,500,0,0,0,0,0.033815757,0,0,0.882592942,0.0835913,0
LU01_72,500,0,0,0,0,0,0.019794554,0,0.837115715,0.143089732,0
LU01_67,500,0,0,0,0,0,0.077459518,0,0.169979606,0.752560876,0
LU01_77,500,0,0,0,0.246237258,0.045755445,0,0,0.628237529,0.012328287,0.067441479
LU01_32,500,0,0,0.163164459,0.128843882,0.001487506,0.05779089,0,0.212152954,0.436560297,0
LU01_36,500,0,0,0,0.091401567,0,0.106826787,0,0.601141195,0.200630433,0
LU01_84,500,0,0,0,0.098067691,0.139181898,0,0,0.725951563,0,0.036798843
LU01_25,500,0.185795775,0,0,0.110047081,0,0,0,0.470318042,0.233839096,0
LU01_83,500,0,0,0.01243944,6.68E-06,0.0616751,0.081378124,0,0.683867153,0.160633498,0
LU01_80,500,0,0,0,0.163500672,0.375577754,0,0,0.404054985,0.056866597,0
LU01_70,500,0,0,0,0.048382666,0.070113869,0.018909379,0,0.599980844,0.147615231,0.114998014
LU01_48,500,0.0325404,0,0,0.151030661,0,0.146234721,0,0.240188792,0.430005414,0
LU01_45,500,0,0,0,0.125053078,0.130434288,0,0,0.311950971,0.432561663,0
LU01_11,500,0.421336473,0,0,0.210597711,0,0.08470245,0,0,0.283363345,0
LU01_40,500,0,0,0,0.236725397,0,0.583249627,0,0.036227082,0.143797894,0
LU01_06,500,0,0,0,0.039868882,0.007391894,0,0,0,0.952739222,0
LU01_10,500,0,0,0,0.132628519,0,0,0,0.014277799,0.85309368,0
LU01_43,500,0,0,0,0.186664146,0.08562652,0.167681487,0,0.43186739,0.128160416,0
LU01_71,500,0,0,0,0.09598006,0.018731094,0,0,0.839178612,0.046110229,0
LU01_22,500,0.046263724,0,0,0.22751917,0.230695619,0,0,0.445331849,0.050189643,0
LU01_60,500,0,0,0,0.121616469,0.067443731,0.061377035,0,0.337498794,0.22644572,0.185618203
LU01_78,500,0,0,0,0,0.154670548,0,0,0.845329452,0,0
LU01_46,500,0,0,0,0.326498123,0.266889568,0.132763797,0,0.189776255,0,0.084072247
LU01_82,500,0,0,0,0.100691357,0.017160765,0,0,0.877308884,0.004839007,0
LU01_27,500,0,0,0,0.151442431,0.105535486,0.081289623,0,0.116635906,0.545096501,0
LU13_18,750,0.118647421,0,0,0.072785914,0.195726121,0.14464677,0,0.412981346,0.05521242,0
LU13_15,750,0,0,0.070136783,0.096070577,0.064721031,0.138908427,0,0.472415452,0,0.157747722
LU13_03,750,0,0,0,0,0.154392519,0,0,0.745117102,0,0.100490379
LU13_34,750,0,0,0,0,0.024683833,0,0,0.975316167,0,0
