"Site","BUFF_DIST","FEATURE_TYHARVEST.AREA","FEATURE_TYCROP","FEATURE_TYWELL.ABAND","FEATURE_TYWELL.OIL","FEATURE_TYTRAIL","FEATURE_TYHARVEST.AREA.WHITE.ZONE","FEATURE_TYCONVENTIONAL.SEISMIC","FEATURE_TYPIPELINE","FEATURE_TYTAME_PASTURE","FEATURE_TYROUGH_PASTURE","FEATURE_TYRURAL.RESIDENCE","FEATURE_TYTRANSMISSION.LINE","FEATURE_TYWELL.GAS","FEATURE_TYMISC.OIL.GAS.FACILITY","FEATURE_TYCLEARING.UNKNOWN","FEATURE_TYVEGETATED.EDGE.ROADS","FEATURE_TYROAD.UNIMPROVED","FEATURE_TYROAD.GRAVEL.1L","FEATURE_TYROAD.GRAVEL.2L","FEATURE_TYTRUCK.TRAIL","FEATURE_TYBORROWPITS","FEATURE_TYSUMP","FEATURE_TYBORROWPIT.WET","FEATURE_TYCULTIVATION_ABANDONED","FEATURE_TYURBAN.RESIDENCE","FEATURE_TYCOUNTRY.RESIDENCE","FEATURE_TYRECREATION","FEATURE_TYWELL.OTHER","FEATURE_TYWELL.BITUMEN","FEATURE_TYWELL.CASED","FEATURE_TYROAD.PAVED.UNDIV.2L","FEATURE_TYROAD.UNCLASSIFIED","FEATURE_TYRUNWAY","FEATURE_TYCLEARING.WELLPAD.UNCONFIRMED","FEATURE_TYFACILITY.UNKNOWN","FEATURE_TYBORROWPIT.DRY","FEATURE_TYGRVL.SAND.PIT","FEATURE_TYDUGOUT","FEATURE_TYLAGOON","FEATURE_TYOPEN.PIT.MINE","FEATURE_TYLOW.IMPACT.SEISMIC","FEATURE_TYSURROUNDING.VEG","FEATURE_TYTRANSFER_STATION","FEATURE_TYFACILITY.OTHER","FEATURE_TYVEGETATED.EDGE.RAILWAYS","FEATURE_TYFRUIT.VEGETABLES","FEATURE_TYRESIDENCE_CLEARING","FEATURE_TYCFO","FEATURE_TYLANDFILL","FEATURE_TYWELL_CLEARED_NOT_CONFIRMED","FEATURE_TYOIL.GAS.PLANT","FEATURE_TYURBAN.INDUSTRIAL","FEATURE_TYROAD.PAVED.1L","FEATURE_TYROAD.PAVED.UNDIV.1L","FEATURE_TYROAD.WINTER","FEATURE_TYWELL_CLEARED_NOT_DRILLED","FEATURE_TYWELL.UNKNOWN","FEATURE_TYAIRP.RUNWAY","FEATURE_TYRESERVOIR","FEATURE_TYCAMPGROUND","FEATURE_TYCANAL","FEATURE_TYCAMP.INDUSTRIAL","FEATURE_TYRLWY.SGL.TRACK"
"LU01_40","750","0.4","0","0","0","0.4","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_06","750","0.117647058823529","0","0","0","0.352941176470588","0","0.529411764705882","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_10","750","0","0","0.181818181818182","0","0.363636363636364","0","0.272727272727273","0.181818181818182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_43","750","0","0","0.166666666666667","0","0.5","0","0.166666666666667","0.166666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_71","750","0","0","0.0769230769230769","0","0.0769230769230769","0","0.461538461538462","0.230769230769231","0","0","0","0.0769230769230769","0.0769230769230769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_22","750","0","0","0.0769230769230769","0","0.192307692307692","0","0.384615384615385","0.0384615384615385","0","0","0","0","0","0","0.0769230769230769","0.0769230769230769","0.0384615384615385","0","0","0.0384615384615385","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0769230769230769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_60","750","0","0","0","0","0.25","0","0.125","0","0","0","0","0.1875","0","0","0","0.25","0","0.125","0","0","0.0625","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_78","750","0","0","0","0","0.5","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_46","750","0","0","0.0526315789473684","0","0.263157894736842","0","0.105263157894737","0.263157894736842","0","0","0","0","0","0","0.0526315789473684","0.210526315789474","0","0.0526315789473684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU01_82","750","0","0.0526315789473684","0","0","0","0","0.210526315789474","0.105263157894737","0.368421052631579","0.0526315789473684","0","0","0","0","0","0.105263157894737","0","0.0526315789473684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0526315789473684","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
