"Site","BUFF_DIST","LC_class20","LC_class32","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU15_46","4750","0.00689655172413793","0","0.0206896551724138","0.00689655172413793","0.275862068965517","0.16551724137931","0","0.186206896551724","0.179310344827586","0.158620689655172"
"LU15_40","4750","0","0","0","0.0196078431372549","0.117647058823529","0.176470588235294","0","0.235294117647059","0.176470588235294","0.274509803921569"
"LU15_16","4750","0","0","0","0.0217391304347826","0.130434782608696","0.239130434782609","0","0.217391304347826","0.130434782608696","0.260869565217391"
"LU15_04","4750","0","0","0","0.0140845070422535","0.450704225352113","0.211267605633803","0","0.154929577464789","0.0140845070422535","0.154929577464789"
"LU15_36","4750","0","0","0","0.0104166666666667","0.385416666666667","0.166666666666667","0","0.197916666666667","0.0520833333333333","0.1875"
"LU15_03","4750","0","0","0.0206896551724138","0.00689655172413793","0.331034482758621","0.179310344827586","0","0.172413793103448","0.124137931034483","0.16551724137931"
"LU15_15","4750","0.0075187969924812","0","0.0225563909774436","0.0075187969924812","0.300751879699248","0.18796992481203","0","0.172932330827068","0.135338345864662","0.165413533834586"
"LU15_14","4750","0.00769230769230769","0","0.0230769230769231","0.00769230769230769","0.338461538461538","0.207692307692308","0","0.192307692307692","0.0538461538461538","0.169230769230769"
"LU15_22","4750","0","0","0","0","0.405660377358491","0.141509433962264","0","0.141509433962264","0.169811320754717","0.141509433962264"
"LU15_61","4750","0","0","0","0","0.455555555555556","0.177777777777778","0","0.111111111111111","0.111111111111111","0.144444444444444"
"LU21_106","4750","0.0264900662251656","0","0","0","0.198675496688742","0.198675496688742","0","0.125827814569536","0.205298013245033","0.245033112582781"
"LU21_10","4750","0.00632911392405063","0","0","0","0.208860759493671","0.234177215189873","0","0.0759493670886076","0.227848101265823","0.246835443037975"
"LU21_16","4750","0.0265486725663717","0","0","0","0.194690265486726","0.20353982300885","0","0.0973451327433628","0.20353982300885","0.274336283185841"
"LU21_107","4750","0.0347826086956522","0","0","0","0.182608695652174","0.234782608695652","0","0.0608695652173913","0.2","0.28695652173913"
"LU21_41","4750","0.0806451612903226","0","0","0","0.306451612903226","0.0483870967741935","0","0.0483870967741935","0.145161290322581","0.370967741935484"
"LU21_63","4750","0.0222222222222222","0","0","0","0.177777777777778","0.192592592592593","0","0.118518518518519","0.237037037037037","0.251851851851852"
"LU21_27","4750","0.170212765957447","0","0","0","0.48936170212766","0.148936170212766","0","0.0212765957446809","0.0212765957446809","0.148936170212766"
