"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_13",250,0,0,1.939430643,1.938513919,0,0,0,0,0,0,0,0,0,0,2.089802254
"LU2_13",500,0,0,1.260585029,1.264445763,0,0,0,0,0,0,0,0,0,0,1.794618628
"LU2_13",750,0,0,0.866558333,0.947483521,0,0,0,0,0,0,0,8.381130266,0,0,1.692463669
"LU2_13",1000,0,0,0.657314493,0.704580019,0,0,0,0,0,0,0,19.92189638,0,0,1.21610544
"LU2_13",1250,0,0,0.524839829,0.555378672,0,0,0,0,0,0,0,25.75631585,0,0,0.97059056
"LU2_13",1500,0,0,0.439002326,0.460360368,0,0,0,0,0,0,0,31.83949142,0,0,0.869322502
"LU2_13",1750,0,0,0.408629389,0.43474963,0,0,0,0,0,0,0,31.0906658,0,0,0.828957515
"LU2_13",2000,0,0,0.379173682,0.399110213,0,0,0,0,0,0,0,29.65634753,0,0,0.83164617
"LU2_13",2250,0,0,0.350309536,0.367755463,0,0,0,0,0,0.050253391,0,27.61419458,0,0,0.859030004
"LU2_13",2500,0,0,0.324903809,0.338960821,0,0,0,0,0,0.040705007,0,24.7416645,0,0,0.887593046
"LU2_137",250,5.347259635,0,2.245106999,6.702776488,0,0,0,0,0,0,1.363316087,15.77467726,0,0,1.750918591
"LU2_137",500,1.493849922,0,1.23784178,3.692602177,0,0,0,0,0,0,0.753982444,19.77442036,0,0,1.119301586
"LU2_137",750,0.663875582,0,0.835876411,2.486136142,0,0,0,0,0,0.931887269,0.482973319,12.94651172,0,0,0.766532126
"LU2_137",1000,0.37341346,0,0.630148551,1.879046147,0,0,0,0,0,0.578337074,0.386410425,10.64075002,0,0,0.682141517
"LU2_137",1250,0.238978356,0,0.505722621,1.465355428,0,0,0,0,0,0.370126034,0.34217341,7.505649208,0,0,0.65763372
"LU2_137",1500,0.16595425,0.113141274,0.422585652,1.208372697,0,0,0,0,0,0.257027365,0.417365269,5.64397435,0,0,0.79284314
"LU2_137",1750,0.121924074,0.083123179,0.365013094,1.051506821,0,0,0,0,0,0.298702623,0.401869527,5.7137697,0,0,0.995615797
"LU2_137",2000,0.14996516,0.073922889,0.323171255,0.93187973,0,0,0,0,0,0.320835494,0.341588704,5.412064852,0,0,1.006431197
"LU2_137",2250,0.146019211,0.12182076,0.290883149,0.840559836,0,0,0,0,0,0.290401804,0.300652572,5.35015115,0,0,0.997776068
"LU2_137",2500,0.118274865,0.098674236,0.265444127,0.769541047,0,0,0,0,0,0.235224084,0.266689716,4.876758898,0,0,1.022578825
"LU2_143",250,0,0,1.473278714,1.472738482,0,0,0,0,0,0,0,0,0,0,3.190393764
"LU2_143",500,0,0,0.766031843,0.765952095,0,0,0,0,0,0,0,1.838246296,0,0,1.671105247
"LU2_143",750,0.255240598,0,1.052863394,1.577575913,0,0,0,0,0,0,0,10.22572578,0,0,1.590297216
"LU2_143",1000,0.23043569,0,0.85400569,1.332250551,0,0,0,0,0,0,0,13.03048095,0,0,1.396106141
"LU2_143",1250,0.147474979,0,0.702952933,1.102032759,0,0,0.315711052,0,0,0.000122442,0,20.43555832,0,0,1.212387513
"LU2_143",1500,0.102411364,0,0.586924975,0.91899633,0,0,0.238353464,0,0,0.11307629,0,26.98009139,0,0,1.145436378
"LU2_143",1750,0.075240079,0,0.504088685,0.776070673,0,0,0.175114704,0,0,0.083075448,0,32.86522482,0,0,0.978727931
"LU2_143",2000,0.057605121,0,0.445722594,0.678289909,0,0,0.134070879,0,0,0.063604016,0,32.9666013,0,0,0.872488567
"LU2_143",2250,0.045514818,0,0.396994818,0.598506436,0,0,0.10593177,0,0,0.050254656,0,33.48299364,0,0,0.801794628
"LU2_143",2500,0.036866793,0,0.359851853,0.53763151,0,0,0.08580423,0,0,0.040706032,0,33.10928223,0,0,0.765663682
"LU2_15",250,0,0,2.310407084,2.592207076,0,0,0,0,0,0,0,24.56540969,0,0,0
"LU2_15",500,0,0,1.265519248,1.331030419,0,0,0,0,0,0,0,19.1005148,0,0,0.374528155
"LU2_15",750,0,0,0.857721904,0.886481077,0,0,0,0,0,0,0,20.7164262,0,0,0.537782116
"LU2_15",1000,0,0,0.649664073,0.66647636,0,0,0,0,0,0,0,18.6134749,0,0,0.731798424
"LU2_15",1250,0,0,0.521998988,0.532923196,0,0,0,0,0,0,0,15.28520468,0,0,0.650541854
"LU2_15",1500,0,0,0.434439579,0.443810141,0,0,0,0,0,0,0,10.99154,0,0,0.97605101
"LU2_15",1750,0,0,0.371783906,0.388241675,0,0,0,0,0,0.082594846,0,10.34578513,0,0,0.956554419
"LU2_15",2000,0,0,0.327267744,0.350135063,0,0,0,0,0,0.063601666,0,10.41843615,0,0,0.908161287
"LU2_15",2250,0,0,0.298624032,0.324478228,0,0,0,0,0,0.100505374,0,11.54513922,0,0,0.97986937
"LU2_15",2500,0,0,0.272460891,0.293680682,0,0,0,0,0,0.081408875,0,12.74573885,0,0,1.050732584
"LU2_153",250,0,0,2.129936345,1.621354995,0,0,0,0,0,0,6.261614991,3.303625547,0.029624927,0,0
"LU2_153",500,0,0,1.227149108,0.807435475,0,0,0,0,0,0,3.392642295,16.61639929,0.253466085,0,0.095363458
"LU2_153",750,0,0,0.847707655,0.525525671,0,0,0,0,0,0,2.98807045,22.43399923,0.112641801,0,0.108210181
"LU2_153",1000,0,0,0.650416925,0.391717443,0,0,0,0,0,0,2.45411724,20.07659223,0.063358204,0,0.195852372
"LU2_153",1250,0,0,0.519801577,0.320665911,0,0,0,0,0,0,2.019008747,19.27712335,0.040548189,0,0.206766573
"LU2_153",1500,0,0,0.444713812,0.288089669,0,0,0,0,0,0.168360224,1.682258715,18.03081966,0.028157962,0,0.242217125
"LU2_153",1750,0,0.084160713,0.397820725,0.27052578,0,0,0,0,0,0.24495143,1.435442234,16.9856282,0.020687231,0,0.243929837
"LU2_153",2000,0,0.079718471,0.352064928,0.252269461,0,0,0,0,0,0.187539098,1.218702211,16.34945951,0.015838506,0,0.318872083
"LU2_153",2250,0,0.126967812,0.313413851,0.234571194,0,0,0,0,0,0.148177955,1.02303584,15.41337897,0.012514283,0,0.399732118
"LU2_153",2500,0,0.144081732,0.280411617,0.216547746,0,0,0,0,0,0.203921497,0.897555752,14.0267816,0.01013651,0,0.456768324
"LU2_155",250,0,0,1.804947404,1.788222806,0,0,0,0,0,0,0,67.04767792,0,0,0.457375191
"LU2_155",500,0,0,1.149603824,1.157477722,0,0,0,0,0,0,0,38.22390426,0,0,1.502669888
"LU2_155",750,0,0,0.830961815,0.834005158,0,0,0,0,0,0,0,28.47186793,0,0,1.084393683
"LU2_155",1000,0,0,0.641895316,0.647589767,0,0,0,0,0,0,0,24.17298859,0,0,1.004647892
"LU2_155",1250,0,0,0.516806028,0.534588552,0,0,0,0,0,0,0,20.7761839,0,0,1.069513685
"LU2_155",1500,0,0,0.431016167,0.447747287,0,0,0,0,0,0,0,16.22385491,0,0,1.136000897
"LU2_155",1750,0.071178263,0,0.370374793,0.382492874,0,0,0,0,0,0,0.268111664,13.83709429,0,0,1.13566273
"LU2_155",2000,0.061176624,0,0.327604883,0.339552479,0,0,0,0,0,0.10774249,0.278387791,14.54843957,0,0,1.089169758
"LU2_155",2250,0.048336731,0.052260049,0.290785963,0.301663938,0,0,0,0,0,0.120146455,0.290844021,17.87830936,0,0,1.021825898
"LU2_155",2500,0.039152521,0.057936408,0.26212699,0.275058365,0,0,0,0,0,0.13855352,0.309132714,20.45250345,0,0,0.964945723
