Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
750 meter buffer,-5.76576340517798,+,-1.5640731875947476,-0.043259400030550656,0.2536842346881041,-0.06969995257023451,-1.023265148684916,-0.2924596175277383,-0.1412664934604669,0.2194549455009606,0.03604664141785739,0.6896422241625294,12,-134.22882086199155,293.8822992582297,4.818341765388709,0.0715877918901674,osm_final_df_2021_2022,caribou
1500 meter buffer,-5.302534261175256,+,-0.1977071264074028,-0.308683398598604,0.20773084967869923,-0.24014413290718853,-0.9155964410944593,-0.26178083950578623,-0.20015396350140277,0.08685372218182812,-0.04956551973862171,0.8722576606244888,12,-135.52269871415155,296.4700549625497,7.406097469708698,0.0196297584475334,osm_final_df_2021_2022,caribou
2500 meter buffer,-5.603878354583989,+,-0.16267341478485095,0.32758898182776214,0.17662967635014332,-0.3414470638114796,-1.487890285999702,-0.7149003802724254,-0.11313892620682388,0.16399680235680167,-0.19603057667190538,1.5625357567897453,12,-136.30795778399946,298.0405731022455,8.976615609404519,0.00895120028270159,osm_final_df_2021_2022,caribou
2000 meter buffer,-5.379371128316202,+,-0.21428286140122557,0.10330648991599987,0.19223882035985068,-0.2784545521805376,-1.5029489295061627,-0.40762528919721314,-0.10973370470956194,0.10423459307753243,-0.06962251867029881,1.162871557429802,12,-136.62190301802107,298.66846357028874,9.604506077447752,0.00653938025713069,osm_final_df_2021_2022,caribou
1750 meter buffer,-5.282613615847669,+,-0.21810475710060712,-0.3157109343564611,0.18089977217790343,-0.26739769562919363,-1.090732278122818,-0.27101831963734313,-0.19384582699719552,0.022045524936583707,-0.043800210371121515,0.9260110518398323,12,-136.95314863884505,299.3309548119367,10.266997319095708,0.0046954632577895,osm_final_df_2021_2022,caribou
2750 meter buffer,-5.5734194896428715,+,-0.13425098922637047,0.30491896141529384,0.14037400924347804,-0.3146134264001095,-1.1069871119148076,-0.8976196860954746,-0.12778633223868743,0.11552118151980369,-0.2614720464082509,1.5513888444306552,12,-136.95759907191294,299.33985567807247,10.275898185231483,0.00467461284393784,osm_final_df_2021_2022,caribou
2250 meter buffer,-5.4753230883939334,+,-0.19149016752450668,0.24039980842324038,0.1919542024368355,-0.34027327001434865,-1.6242628025980728,-0.43755039309602956,-0.11626404587573742,0.17618415662733689,-0.09751302752001982,1.350028931152121,12,-136.98675673812724,299.3981710105011,10.334213517660089,0.00454027997641697,osm_final_df_2021_2022,caribou
500 meter buffer,-5.74979962065774,+,-2.305341665071449,-0.05809455413227081,0.1593907351203086,-0.13692140209579903,-0.3164275500144158,-0.16567285824006545,-0.17000426043824407,0.20934734109490166,-0.046562349441369104,0.4975402293283947,12,-137.7935805433814,301.0118186210094,11.947861128168427,0.00202620558436588,osm_final_df_2021_2022,caribou
3000 meter buffer,-5.6034896248249515,+,-0.043539680695781686,0.4423883393461763,0.09876962774756377,-0.2521210916947383,-0.970254954620024,-0.9864143319499701,-0.12765844732344886,0.009939888212161916,-0.3720654991799011,1.490074568796426,12,-138.5355730048982,302.495803544043,13.431846051202001,0.000964806623571926,osm_final_df_2021_2022,caribou
250 meter buffer,-204.2026831976593,+,-599.0380664248245,-0.30358217847582697,0.17722812803169388,-0.1461332570537217,-0.19130039261841983,-0.20725037374314226,-0.29414787271741377,0.2293336393182643,-0.29452118646209013,0.3695857017749515,12,-138.88846363114607,303.2015847965387,14.137627303697741,0.000677925272916966,osm_final_df_2021_2022,caribou
3250 meter buffer,-5.702495707702454,+,0.023835253073726675,0.6127225602988782,0.06234055910146097,-0.24326332672469383,-0.926720859926345,-0.9570912603572779,-0.15115630015672651,-0.07156963664623066,-0.46886471114128303,1.4380996574233713,12,-140.03951749452892,305.50369252330444,16.439735030463453,0.000214429969286215,osm_final_df_2021_2022,caribou
3500 meter buffer,-5.6743060821983615,+,-0.01945111416556394,0.6216587296699788,0.0461193022626178,-0.262950030090261,-0.8173317063733638,-0.9677301301617589,-0.1273545031319162,-0.08801584294191063,-0.5030619751935581,1.4153473225435496,12,-140.55392897707287,306.53251548839233,17.46855799555135,0.000128197458398153,osm_final_df_2021_2022,caribou
3750 meter buffer,-5.640270112234641,+,-0.08865803066816522,0.6213432222676881,0.03317634121500652,-0.2887825706955431,-0.7580179843753733,-0.9200751520067851,-0.11168018216712164,-0.11677131348105087,-0.48833302750923946,1.3861850706413155,12,-141.1210239657486,307.6667054657438,18.60274797290282,7.27098403046525e-05,osm_final_df_2021_2022,caribou
4750 meter buffer,-5.192624676069436,+,-1.1761478516553194,-0.5951802608297834,-0.07210524627216995,-0.38774229270014343,0.07746610344246321,-0.6926807257973208,-0.1672512122122579,0.051263312971369636,-0.5079617469519728,1.1279565275204873,12,-141.7487344929403,308.92212652012716,19.85816902728618,3.88134254346066e-05,osm_final_df_2021_2022,caribou
5000 meter buffer,-5.222122809454422,+,-1.3806257940602755,-0.6594411607383815,-0.09455390062719968,-0.38136359723677615,0.09164399750605214,-0.6611870986018407,-0.15744345088455036,0.07861619124940154,-0.5294106290405786,1.1220462664463557,12,-141.7694697702961,308.9635970748388,19.899639581997803,3.8016904869092e-05,osm_final_df_2021_2022,caribou
4000 meter buffer,-5.527983259371603,+,-0.19871031856615606,0.5138729894353552,0.006902338559733542,-0.3177137854743593,-0.6265347530852474,-0.8016489284416745,-0.10437165954048257,-0.12108052240560482,-0.4229576511775204,1.3090162920156083,12,-142.30131576914218,310.02728907253095,20.963331579689964,2.23356694375388e-05,osm_final_df_2021_2022,caribou
4500 meter buffer,-5.1331409417915435,+,-0.8951230909273112,-0.25990903544401317,-0.03287530396840932,-0.3676536925067667,-0.07555069555136582,-0.7022722829132331,-0.12326110704541397,-0.011530570458910176,-0.431420003096549,1.1030771351745137,12,-142.88330340494636,311.1912643441393,22.12730685129833,1.24808727342985e-05,osm_final_df_2021_2022,caribou
4250 meter buffer,-5.195888280068398,+,-0.5407539958096963,0.02969349959053986,-0.01589793076215963,-0.33420234113718933,-0.28683055470981395,-0.7415272957074609,-0.11727845441378433,-0.06532621411782867,-0.41312654929954673,1.1761870793450875,12,-142.99345928064574,311.41157609553807,22.347618602697082,1.11790491557537e-05,osm_final_df_2021_2022,caribou
5000 meter buffer,-1.3874054990660254,+,-0.08468380882682314,0.37238292974950354,-0.1599505489301553,-0.20156589329756064,0.35366745014775,0.11369026982151637,-0.0712133988218786,0.2668502684392625,-0.016663189831754358,0.009497740411457987,12,-460.06874787989847,945.5621532940435,0,0.444297522266992,osm_final_df_2021_2022,coyote
4750 meter buffer,-1.3864346113272303,+,-0.08009304309115643,0.36263781740577944,-0.16876268558763025,-0.19772340592423462,0.3539306762534821,0.10756985026826822,-0.07461374056862191,0.25908644739523395,-0.02444740476771566,0.016280660897990566,12,-460.2715745816393,945.9678066975251,0.405653403481665,0.362733255741078,osm_final_df_2021_2022,coyote
4500 meter buffer,-1.384919361417308,+,-0.07005596291885537,0.3539336383546426,-0.17501395746669612,-0.19228888078930725,0.3470543360941356,0.09347599915888091,-0.0768303074131624,0.2565247654443035,-0.023216889017042174,0.03685148350082042,12,-461.22740394154187,947.8794654173303,2.317312123286797,0.139468444527743,osm_final_df_2021_2022,coyote
4250 meter buffer,-1.3831200891533415,+,-0.06196391396219427,0.3337513704327609,-0.1807674754683391,-0.17121549118600524,0.3402821400651875,0.07896172700802583,-0.07192315961106009,0.23653249264978063,-0.01811957681653783,0.045610153828361734,12,-463.7124916364715,952.8496408071895,7.287487513146061,0.0116202663940846,osm_final_df_2021_2022,coyote
